unidentifiable	x/nY/dEn/tI/fY/x/bxl
republic	rI/p^b/lIk
terrific	tx/rI/fIk
together	tx/gE/DR
whenever	wEn/E/vR
african	@/frI/kxn
animal	@/nI/mxl
animals	@/nI/mxlz
awfully	c/fx/li
beverage	bE/vx/rIJ
bothering	ba/Dx/rIG
buttoning	b^/tI/nIG
cabinet	k@/bI/nIt
cabinets	k@/bI/nIts
cameras	k@/mx/rxz
chocolate	Cc/kx/lIt
christening	krI/sI/nIG
christopher	krI/stx/fR
cigarette	sI/gx/rEt
covering	k^/vx/rIG
decibels	dE/sx/bxlz
difficult	dI/fI/kxlt
donovan	da/nx/vxn
edible	E/dx/bxl
elegant	E/lx/gxnt
elephant	E/lx/fInt
elephants	E/lx/fxnts
elephant's	E/lx/fInts
fabulous	f@/byx/lxs
finishing	fI/nI/SIG
follicles	fa/lI/kxlz
foraging	fc/rI/JIG
genesis	JE/nI/sIs
gibberish	JI/bx/rIS
happening	h@/px/nIG
hollering	ha/lx/rIG
horrible	hc/rx/bxl
katherine	k@/TrIn
listening	lI/sI/nIG
lyricists	lI/rI/sIsts
magical	m@/JI/kxl
measuring	mEZ/x/rIG
medicine	mE/dI/sIn
messages	mE/sI/JIz
modeling	ma/dx/lIG
monitor	ma/nI/tR
natural	n@/Cx/rxl
nautilus	nc/tI/lxs
negative	nE/gx/tIv
opposite	a/px/zIt
opposites	a/px/zIts
pegasus	pE/gx/sIs
pitiful	pI/tI/fxl
platinum	pl@/tI/nxm
positive	pa/zI/tIv
possible	pa/sx/bxl
prisoner	prI/zI/nR
privilege	prI/vx/lIJ
promises	pra/mI/sIz
quivering	kwI/vx/rIG
regular	rE/gyx/lR
scattering	sk@/tx/rIG
scheduling	skE/JU/lIG
solomon	sa/lx/mxn
staticky	st@/tI/ki
supplement	s^p/lx/mInt
talkative	tc/kx/tIv
terrible	tE/rx/bxl
traveler	tr@/vx/lR
traveling	tr@/vx/lIG
vinegar	vI/nx/gR
visiting	vI/zI/tIG
watering	wc/tx/rIG
wearable	we/rx/bxl
wrestling	rE/sx/lIG
apricot	@/prI/kat
apricots	@/prI/kats
autograph	c/tx/gr@f
catalogs	k@/tx/lcgz
catalogue	k@/tx/lcg
cinnamon	sI/nx/mxn
daffodil	d@/fx/dIl
daffodils	d@/fx/dIlz
disappear	dI/sx/pir
disappeared	dI/sx/pird
sonogram	sa/nx/gr@m
wherever	we/rE/vR
whatever	w^t/E/vR
karate	kx/ra/ti
salami	sx/la/mi
spaghetti	spx/gE/ti
tomorrow	tx/ma/ro
battery	b@/tx/ri
brittany	brI/tI/ni
broccoli	bra/kx/li
celery	sE/lx/ri
comedy	ka/mI/di
coppery	k0/p@/rI
emily	E/mI/li
enemy	E/nI/mi
family	f@/mx/li
feathery	fE/Dx/ri
finicky	fI/nI/ki
gradually	gr@/Ju/x/li
gravity	gr@/vI/ti
gregory	grE/gx/ri
happily	h@/px/li
hickory	hI/kx/ri
italy	I/tx/li
jeremy	JE/rx/mi
luckily	l^/kI/li
melanie	mE/lx/ni
memory	mE/mx/ri
merrily	mE/rI/li
misery	mI/zx/ri
policy	pa/lI/si
probably	pra/bx/bli
quality	kwa/lI/ti
raggedy	r@/gI/di
remedy	rE/mx/di
rubbery	r^/bx/ri
sesame	sE/sx/mi
slippery	slI/px/ri
stephanie	stE/fx/ni
terribly	tE/rx/bli
timothy	tI/mx/Ti
watery	wc/tx/ri
zachary	z@/kx/ri
alibi	@/lx/bY
avenue	@/vx/nu
faraway	fa/rx/we
glorify	glo/rI/fY
holiday	ha/lI/de
runaway	r^/nx/we
strawberry	strc/bE/ri
tomorrow's	tx/ma/roz
batteries	b@/tx/riz
calories	k@/lx/riz
families	f@m/liz
abigail	@/bI/gel
appetite	@/pI/tYt
attitude	@/tI/tud
celebrate	sE/lx/bret
civilized	sI/vI/lYzd
crocodile	kra/kx/dYl
crocodiles	kra/kx/dYlz
generate	JE/nx/ret
glorified	glo/rI/fYd
imitates	I/mI/tets
irritate	I/rI/tet
magazine	m@/gx/zin
magazines	m@/gx/zinz
navigate	n@/vI/get
paranoid	p@/rx/nOd
regulate	rE/gyx/let
separate	sE/px/ret
telephone	tE/lx/fon
telephones	tE/lx/fonz
telephone's	tE/lx/fonz
strawberries	strc/bE/riz
banana	bx/n@/nx
gorilla	gx/rI/lx
iguana	I/gwa/nx
melissa	mx/lI/sx
pajama	px/Ja/mx
vanilla	vx/nI/lx
chihuahua	CI/wa/wa
africa	@/frI/kx
camera	k@/mx/rx
canada	k@/nI/dx
deborah	dE/bx/rx
monica	ma/nI/kx
concerned	kxn/sRnd
concerns	kxn/sRnz
content	kxn/tEnt
contents	kxn/tEnts
control	kxn/trol
controlled	kxn/trold
controls	kxn/trolz
discuss	dIs/k^s
discussed	dI/sk^st
distracts	dI/str@kts
disturb	dIs/tRb
exact	Eg/z@kt
except	Ek/sEpt
excess	Ek/sEs
exists	Eg/zIsts
expect	Eks/pEkt
explore	Eks/plor
express	Eks/prEs
herself	hR/sElf
himself	hIm/sElf
hisself	hIz/sElf
ignore	Ig/nor
impressed	Im/prEst
inform	In/fcrm
informed	In/fcrmd
insist	In/sIst
instead	In/stEd
intense	In/tEns
intent	In/tEnt
invent	In/vEnt
involved	In/valvd
itself	It/sElf
midwest	mId/wEst
obsessed	xb/sEst
percent	pR/sEnt
perhaps	pR/h@ps
respect	rIs/pEkt
response	rIs/pans
uncurl	xn/kRl
undressed	xn/drEst
unfair	xn/fer
unhook	xn/hUk
unless	xn/lEs
unlocked	xn/lakt
unplug	xn/pl^g
unplugged	xn/pl^gd
unstrap	^n/str@p
until	xn/tIl
unzip	xn/zIp
upstairs	xp/sterz
yourself	yUr/sElf
acting	@k/tIG
action	@k/SIn
active	@k/tIv
actor	@k/tR
after	@f/tR
agnes	@g/nIs
answer	@n/sR
answered	@n/sRd
answers	@n/sRz
arches	ar/CIz
arthur	ar/TR
backing	b@/kIG
bantam	b@n/txm
barber	bar/bR
barking	bar/kIG
bashful	b@S/fxl
basket	b@s/kIt
baskets	b@/skIts
belches	bEl/CIz
bended	bEn/dId
bending	bEn/dIG
better	bE/tR
biscuits	bI/skIts
blinking	blIG/kIG
boarded	bor/dId
booger	bU/gR
boring	bo/rIG
boxes	bak/sIz
branches	br@n/CIz
breakfast	brEk/fxst
brendan	brEn/dIn
brilliant	brI/lyInt
bringing	brIG/IG
brooklyn	brU/klIn
building	bIl/dIG
buildings	bIl/dIGz
bumbling	b^m/blIG
bumper	b^m/pR
bumping	b^m/pIG
bundle	b^n/dxl
bunting	b^n/tIG
burning	bR/nIG
burping	bR/pIG
business	bIz/nIs
busted	b^/stId
buster	b^s/tR
cactus	k@k/tIs
calling	kc/lIG
campbell	k@m/bxl
camping	k@m/pIG
cancel	k@n/sxl
candle	k@n/dxl
candles	k@n/dxlz
captain	k@p/tIn
careful	ker/fxl
carmen	kar/mxn
carpet	kar/pIt
carton	kar/txn
center	sEn/tR
charming	Car/mIG
cheerful	Cir/fxl
chester	CE/stR
children	CIl/drIn
chilling	CI/lIG
chirping	CR/pIG
christmas	krI/smxs
circle	sR/kxl
circled	sR/kxld
circles	sR/kxlz
circus	sR/kxs
clearance	kli/rIns
clearer	kli/rR
clinking	klIG/kIG
comfort	k^m/fRt
concept	kan/sEpt
concert	kan/sRt
constant	kan/stInt
corner	kcr/nR
cornish	kcr/nIS
couldn't	kU/dxnt
courting	kor/tIG
crinkles	krIG/kxlz
crinkling	krIG/klIG
critter	krI/tR
crumble	kr^m/bxl
crusted	kr^s/tId
crystals	krI/stxlz
current	kR/rInt
curtain	kR/txn
curtains	kR/txnz
cymbals	sIm/bxlz
dances	d@n/sIz
dancing	d@n/sIG
daniel	d@n/yxl
darling	dar/lIG
didn't	dI/dxnt
dillon	dI/lxn
dimples	dIm/pxlz
doctor	dak/tR
doctor's	dak/tRz
doesn't	d^/zxnt
dolphins	dcl/fInz
dreadful	drEd/fxl
drinking	drIG/kIG
drunken	dr^G/kxn
ducklings	d^/klIGz
dumping	d^m/pIG
dumpling	d^m/plIG
dungeon	d^n/JIn
earring	ir/rIG
earrings	ir/rIGz
edges	E/JIz
edward	Ed/wRd
ellis	E/lIs
ended	En/dId
engine	En/JIn
english	IG/glIS
enter	En/tR
entered	En/tRd
entrance	En/trIns
fallen	fc/lxn
falling	fc/lIG
farmer	far/mR
farmer's	far/mRz
farted	far/tId
farther	far/DR
filling	fI/lIG
finger	fIG/gR
fingers	fIG/gRz
fixes	fIk/sIz
fixing	fIk/sIG
flirting	flR/tIG
forcing	for/sIG
forward	fcr/wRd
foxes	fck/sIz
friction	frIk/SIn
frosting	frc/stIG
fumble	f^m/bxl
further	fR/DR
garbage	gar/bIJ
garden	gar/dxn
garland	gar/lxnd
garlic	gar/lIk
garrett	g@/rIt
gentle	JEn/txl
gerber	gR/bR
getting	gE/tIG
girded	gR/dId
girder	gR/dR
goodness	gUd/nIs
gordon	gcr/dIn
gorgeous	gcr/JIs
grunted	gr^n/tId
grunting	gr^n/tIG
hadn't	h@/dxnt
handed	h@n/dId
handle	h@n/dxl
handled	h@n/dxld
handsome	h@n/sxm
harder	har/dR
hardest	har/dIst
harmless	harm/lIs
harvest	har/vIst
hasn't	h@/zInt
haven't	h@/vxnt
hearing	hi/rIG
helmet	hEl/mIt
helper	hEl/pR
helpful	hElp/fxl
helping	hEl/pIG
helter	hEl/tR
honking	hcG/kIG
horner	hcr/nR
horses	hcr/sIz
hundred	h^n/drId
hundreds	h^n/drIdz
hunting	h^n/tIG
hurting	hR/tIG
husband	h^z/bxnd
hymnal	hIm/nxl
inches	In/CIz
inching	In/CIG
infant	In/fxnt
inning	I/nIG
interest	In/tx/rIst
isn't	I/zInt
itches	I/CIz
itching	I/CIG
it'd	I/tId
it'll	I/txl
jasmine	J@z/mIn
jingle	JIG/gxl
jingles	JIG/gxlz
jordan	Jcr/dxn
jordan's	Jcr/dxnz
jumble	J^m/bxl
jumper	J^m/pR
jumping	J^m/pIG
jungle	J^G/gxl
kansas	k@n/zxs
ketchup	kE/Cxp
killing	kI/lIG
kingdom	kIG/dxm
landed	l@n/dId
landing	l@n/dIG
landings	l@n/dIGz
lantern	l@n/tRn
latches	l@/CIz
learning	lR/nIG
lifting	lIf/tIG
lobster	lab/stR
lobsters	lab/stRz
london	l^n/dxn
longer	lcG/gR
longest	lcG/gIst
luster	l^s/tR
madman	m@d/mxn
magnet	m@g/nIt
magnets	m@g/nIts
marble	mar/bxl
marshalls	mar/Sxlz
master	m@s/tR
matches	m@/CIz
matching	m@/CIG
melted	mEl/tId
melting	mEl/tIG
mention	mEn/SIn
merchant	mR/CInt
million	mI/lyIn
millions	mIl/yxnz
mixer	mIk/sR
mixing	mIk/sIG
monster	man/stR
monsters	man/stRz
monstrous	mans/trIs
morgan	mor/gIn
morgan's	mor/gInz
morning	mor/nIG
mumbling	m^m/blIG
mustard	m^s/tRd
napkin	n@p/kIn
napkins	n@p/kInz
nearer	ni/rR
necklace	nEk/lIs
nervous	nR/vxs
nesting	nE/stIG
normal	ncr/mxl
number	n^m/bR
numbers	n^m/bRz
nursing	nR/sIG
options	ap/SInz
order	cr/dR
ordered	cr/dRd
orphan	cr/fxn
ostrich	as/trIC
pamper	p@m/pR
pampers	p@m/pRz
panther	p@n/TR
panting	p@n/tIG
pardon	par/dxn
parlor	par/lR
parsnips	par/snIps
parting	par/tIG
partner	part/nR
pencil	pEn/sxl
pencils	pEn/sxlz
penguin	pEG/gwIn
penguins	pEGg/wInz
perfect	pR/fEkt
person	pR/sIn
phillip	fI/lIp
picnic	pIk/nIk
pictures	pIk/CRz
piglet	pIg/lIt
piglets	pI/glIts
pinching	pIn/CIG
planted	pl@n/tId
plastic	pl@s/tIk
practice	pr@k/tIs
pregnant	prEg/nInt
pretzel	prEt/sxl
pretzels	prEt/sxlz
printed	prIn/tId
pumpkin	p^m/pkIn
pumpkins	p^mp/kInz
punkin	p^G/kIn
purchase	pR/CIs
purple	pR/pxl
purpose	pR/pxs
quarter	kwcr/tR
quarters	kwcr/tRz
question	kwEs/CIn
ramble	r@m/bxl
rascal	r@s/kxl
renting	rEn/tIG
resting	rE/stIG
ringer	rI/GR
ringing	rIG/IG
rinsing	rIn/sIG
romper	ram/pR
rumbling	r^m/blIG
sample	s@m/pxl
sampling	s@m/px/lIG
sandal	s@n/dxl
sandals	s@n/dxlz
sandwich	s@n/dwIC
santas	s@n/txz
scamper	sk@m/pR
scramble	skr@m/bxl
scrambled	skr@m/bxld
scrumptious	skr^m/pSIs
seltzer	sElt/sR
sending	sEn/dIG
serpent	sR/pInt
service	sR/vIs
serving	sR/vIG
shepherd	SE/pRd
shorter	Scr/tR
signal	sIg/nxl
silver	sIl/vR
simple	sIm/pxl
singing	sIG/IG
sister	sIs/tR
sisters	sI/stRz
sister's	sI/stRz
skelter	skEl/tR
slumber	sl^m/bR
slumbers	sl^m/bRz
smallness	smcl/nIs
smarter	smar/tR
smartest	smar/tIst
snorting	sncr/tIG
softest	scf/tIst
sorted	scr/tId
sorter	scr/tR
sparkle	spar/kxl
specter	spEk/tR
spectrum	spEk/trxm
splendid	splEn/dId
splendor	splEn/dR
sponges	sp^n/JIz
sprinkler	sprIG/klR
squinting	skwIn/tIG
squirming	skwR/mIG
squirted	skwR/tId
squirting	skwR/tIG
stalking	stc/kIG
standing	st@n/dIG
started	star/tId
starting	star/tIG
startle	star/txl
startled	star/txld
starving	star/vIG
stinker	stIG/kR
stinking	stIG/kIG
stitches	stI/CIz
stomping	stam/pIG
stringing	strIG/IG
stronger	strcG/R
suction	s^k/SIn
surface	sR/fIs
swinging	swIG/IG
system	sIs/txm
tantrum	t@n/trxm
tantrums	t@n/trxmz
target	tar/gIt
temper	tEm/pR
tending	tEn/dIG
testing	tE/stIG
that'll	D@/txl
thinking	TIG/kIG
thoughtful	Tct/fxl
thumper	T^m/pR
thunder	T^n/dR
thundered	T^n/dRd
tickler	tI/klR/
tickling	tI/kx/lIG
tilted	tIl/tId
timber	tIm/bR
timbers	tIm/bRz
tinkle	tIG/kxl
toddler	tad/lR
tortoise	tcr/tIs
tractor	tr@k/tR
tumble	t^m/bxl
tumbled	t^m/bxld
tumbles	t^m/bxlz
turning	tR/nIG
turtle	tR/txl
turtles	tR/txlz
twinkle	twIG/kxl
twister	twIs/tR
twisting	twI/stIG
uncle	^G/kxl
uncles	^G/kxlz
under	^n/dR
urchins	R/CInz
version	vR/ZIn
versus	vR/sIs
walters	wcl/tRz
wandered	wan/dRd
wanted	w^n/tId
wanting	w^n/tIG
warmer	wcr/mR
warming	wcr/mIG
warning	wcr/nIG
wasn't	w^/zInt
weirdest	wir/dIst
welcome	wEl/kxm
whisker	wIs/kR
whiskers	wI/skRz
whisper	wIs/pR
whispered	wI/spRd
william	wIl/yxm
wilted	wIl/tId
winter	wIn/tR
wonder	w^n/dR
wondered	w^n/dRd
wonders	w^n/dRz
working	wR/kIG
worship	wR/SIp
wrinkled	rIG/kxld
wrinkles	rIG/kxlz
yearling	yR/lIG
yonder	yan/dR
younger	y^G/gR
back+door	b@k/dor
back+wash	b@/kwcS
backyard	b@/kyard
barbells	bar/bElz
barefoot	ber/fUt
bath+tub	b@T/t^b
batman	b@t/m@n
black+bird	bl@k/bRd
black+birds	bl@k/bRdz
block+head	blak/hEd
bull+frog	bUl/frcg
cardboard	kard/bord
checkbook	CEk/bUk
chipmunks	CIp/m^Gks
cobweb	ka/bwEb
cobwebs	kab/wEbz
contact	kan/t@kt
crisscross	krI/skrcs
doorbell	dor/bEl
doorknob	dor/nab
dustpan	d^st/p@n
eardrum	ir/dr^m
farmyard	farm/yard
football	fUt/bcl
footprints	fUt/prInts
forehead	for/hEd
forget	fcr/gEt
forgets	fcr/gEts
forgive	fcr/gIv
forgot	fcr/gat
fuss+pot	f^S/pat
girl+friend	gRl/frEnd
grandad	gr@n/d@d
grandma's	gr@nd/maz
grandpas	gr@nd/paz
grandpa's	gr@nd/paz
hairbrush	her/br^S
haircut	her/k^t
handbook	h@nd/bUk
headband	hEd/b@nd
hedgehog	hEJ/hcg
hog+wash	hcg/waS
income	In/k^m
indoors	In/dorz
input	In/pUt
israel	Iz/ril
knapsack	n@p/s@k
muskrats	m^/skr@ts
mustache	m^/st@S
ourself	ar/sElf
pass+word	p@/swRd
popcorn	pap/kcrn
princess	prIn/sEs
redhead	rEd/hEd
sandman	
sixpence	sIk/spEns
soft+ware	scf/twer
softball	scft/bcl
someone	s^/mw^n
someone's	s^m/w^nz
something	s^m/TIG
something's	s^m/TIGz
somewhat	s^/mwat
somewhere	s^/mwer
starfish	star/fIS
steadfast	stEd/f@st
sultan	s^l/tIn
sunburn	s^n/bRn
suntan	s^n/t@n
sweat+pants	swEt/p@nts
sweatshirt	swE/tSRt
sweatshirts	swE/tSRts
syndrome	sIn/drom
tarzan	tar/z@n
themselves	DEm/sElvz
therefore	Der/for
thumb+tacks	T^m/t@ks
tomcat	tam/k@t
undone	^n/d^n
uphill	xp/hIl
upset	^p/sEt
washcloth	wcS/klcT
washcloths	wcS/klcTs
whirlwind	wR/lwInd
zigzag	zIg/z@g
ziploc	zI/plak
although	cl/Do
destroy	dIs/trO
enjoy	En/JO
july	JU/lY
shampoo	S@m/pu
unscrew	xn/skru
untie	xn/tY
algae	@l/Ji
also	cl/so
andy	@n/di
army	ar/mi
auntie	@n/ti
badly	b@d/li
bambi	b@m/bi
barbie	bar/bi
barely	ber/li
barkley	bar/kli
barley	bar/li
barney	bar/ni
belly	bE/li
betty	bE/ti
billy	bI/li
bingo	bIG/go
birdie	bR/di
boogie	bU/gi
bookie	bU/ki
bully	bU/li
bumpy	b^m/pi
bunny	b^/ni
burrow	bR/ro
candy	k@n/di
charlie	Car/li
cheery	Ci/ri
chili	CI/li
chilly	CI/li
chimney	CIm/ni
chunky	C^G/ki
clumpy	kl^m/pi
clunky	kl^G/ki
comfy	k^m/fi
corny	kcr/ni
cosby	kcz/bi
country	k^n/tri
crinkly	krIG/kli
crispy	krI/spi
crusty	kr^s/ti
cuddly	k^d/li
curly	kR/li
curvy	kR/vi
dandy	d@n/di
dirty	dR/ti
disney	dIz/ni
donkey	dcG/ki
dumpty	d^mp/ti
early	R/li
elmo	El/mo
empty	Em/pti
entry	En/tri
ernie	R/ni
fairly	fer/li
fairy	fe/ri
fancy	f@n/si
fifty	fIf/ti
filthy	fIl/Ti
firmly	fRm/li
forty	fcr/ti
friendly	frEn/dli
frilly	frI/li
frisbee	frIz/bi
frosty	frcs/ti
furry	fR/ri
gently	JEnt/li
girlie	gR/li
glory	glo/ri
grumpy	gr^m/pi
grundy	gr^n/di
guilty	gIl/ti
handy	h@n/di
hardly	hard/li
healthy	hEl/Ti
henry	hEn/ri
humpty	h^mp/ti
hungry	h^G/gri
hurry	hR/ri
into	In/tu
itchy	I/Ci
itty	wI/tI
junky	J^G/ki
kidney	kId/ni
laundry	lcn/dri
lefty	lEf/ti
lingo	lIG/go
lovely	l^v/li
lumpy	l^m/pi
mandy	m@n/di
mercy	mR/si
milky	mIl/ki
monkey	m^G/ki
murphy	mR/fi
nasty	n@s/ti
nearly	nir/li
nellie	nE/li
nilly	nI/li
nixie	nIk/sI
pantry	p@n/tri
party	par/ti
pearly	pR/li
pepsi	pEp/si
pesky	pEs/ki
pinky	pI9/kI
plenty	plEn/ti
prickly	prIk/li
punky	p^G/ki
puppy	p^/pi
quickly	kwI/kli
quincy	kwIn/si
sadly	s@d/li
sandy	s@n/di
sexy	sEk/si
shelby	SEl/bi
shortly	Scrt/li
sidney	sId/ni
silky	sIl/ki
simply	sIm/pli
sixty	sIk/sti
slinky	slIG/ki
softly	scft/li
sparky	spar/ki
stingy	stIn/Ji
stinky	stIG/ki
stormy	stcr/mi
sturdy	stR/di
surely	SUr/li
taxi	t@k/si
thirsty	TRs/ti
thirty	TR/ti
thorny	Tcr/ni
tootsie	tUt/si
turkey	tR/ki
twenty	twEn/ti
twisty	twIs/ti
ugly	^g/li
waldo	wcl/do
whitney	wIt/ni
wiggly	wIg/li
window	wIn/do
windy	wIn/di
wrinkly	rIG/kli
argue	ar/gyu
bamboo	b@m/bu
banjo	b@n/Jo
birthday	bRT/de
bongo	baG/go
condo	kan/do
doorway	dor/we
earache	i/rek
elbow	El/bo
goodbye	gUd/bY
hairdo	her/du
halfway	h@f/we
hallway	hcl/we
monday	m^n/de
nearby	nir/bY
onto	an/tu
pinto	pIn/to
rescue	rEs/kyu
scarecrow	sker/kro
someday	s^m/de
somehow	s^m/hW
sunday	s^n/de
survey	sR/ve
thursday	TRz/de
tiptoe	tIp/to
tomboy	tam/bO
undo	^n/du
velcro	vEl/kro
wednesday	wEnz/de
weirdo	wir/do
alright	cl/rYt
balloon	bx/lun
balloons	bx/lunz
complain	kxm/plen
complains	kxm/plenz
complete	kxm/plit
confuse	kxn/fyuz
confused	kxn/fyuzd
contain	kxn/ten
contains	kxn/tenz
despise	dIs/pYz
disguised	dIs/gYzd
dispose	dIs/poz
divine	dI/vYn
enjoyed	En/JOd
entire	En/tY/R
escape	Es/kep
escaped	E/skept
estate	Es/tet
excuse	Eks/kyus
exposed	Ek/spozd
fifteenth	fIf/tinT
implies	Im/plYz
increase	In/kris
indeed	In/did
inside	In/sYd
inspire	In/spYr
invites	In/vYts
jerome	Jx/rom
mistake	mIs/tek
mistreat	mI/strit
obtained	xb/tend
perfume	pR/fyum
restrain	rIs/tren
succeed	sxk/sid
survive	sR/vYv
unfold	xn/fold
untied	xn/tYd
unused	xn/yuzd
barbies	bar/biz
barney's	bar/niz
bellies	bE/liz
boogies	bU/giz
bookies	bU/kiz
bunnies	b^/niz
crunchy	kr^n/Ci
disney's	dIz/niz
donkeys	daG/kiz
fifteen	fIf/tin
fortune	fcr/CIn
hostile	has/txl
kerchief	kR/CIf
mercies	mR/siz
monkeys	m^G/kiz
panties	p@n/tiz
sydney's	sId/niz
taxis	t@k/siz
thingies	TIG/iz
turkeys	tR/kiz
undies	^n/diz
windows	wIn/doz
airline	er/lYn
airplane	er/plen
almost	cl/most
always	c/lwez
armhole	^m/h@Ul
background	b@k/grWnd
ball+game	bcl/gem
bath+room	b@/Trum
bath+rooms	b@/Trumz
bed+room	bE/drum
bedtime	bEd/tYm
bongos	baG/goz
bookcase	bUk/kes
car+seat	kar/sit
cartoon	kar/tun
cartoons	kar/tunz
checkout	CE/kWt
combine	kam/bYn
condos	kan/doz
cornfield	kcrn/fild
cupcake	k^p/kek
doghouse	dcg/hWs
earthquake	RT/kwek
elbows	El/boz
fish+bowl	fIS/bol
flashlight	fl@S/lYt
forsake	fcr/sek
fourteen	for/tin
fourteenth	for/tinT
good+night	gUd/nYt
head+phones	hEd/fonz
headache	hE/dek
heartbeat	hart/bit
lunchtime	l^nC/tYm
melt+down	mElt/dWn
membrane	mEm/bren
mermaid	mR/med
midnight	mId/nYt
mushroom	m^/Srum
mushrooms	m^S/rumz
neckties	nEk/tYz
online	an/lYn
pancake	p@n/kek
pancakes	p@n/keks
pigtail	pIg/tel
pipsqueak	pIp/skwik
porthole	port/hol
rescued	rEs/kyud
rescues	rEs/kyuz
sixteen	sIks/tin
sixteenth	sIks/tinT
someplace	s^m/ples
sometime	s^m/tYm
sometimes	s^m/tYmz
springtime	sprIG/tYm
standpoint	st@n/dpOnt
sun+screen	s^n/skrin
sun+screens	s^n/skrinz
sunshine	s^n/SYn
swimsuit	swIm/sut
thirteen	TR/tin
tiptoed	tIp/tod
tiptoes	tIp/toz
touchdowns	t^C/dWnz
translate	tr@ns/let
trombone	tram/bon
upside	^p/sYd
upstream	^p/strim
uptown	^p/tWn
utmost	^t/most
vampire	v@m/pYr
windshield	wInd/Sild
wishbone	wIS/bon
work+place	wRk/ples
work+room	wR/krUm
workout	wR/kWt
alpha	@l/fx
brenda	brEn/dx
extra	Eks/trx
georgia	Jcr/Jx
grandma	gr@/ma
linda	lIn/dx
marcher	mar/CR
marches	mar/CIz
margaret	mar/grIt
marker	mar/kR
markers	mar/kRz
market	mar/kIt
marking	mar/kIG
martha	mar/Tx
ninja	nIn/Jx
panda	p@n/dx
salsa	scl/sx
santa	s@n/tx
tonka	taG/kx
tonya	tan/yx
grandpa	gr@m/pa
able	e/bxl
acre	e/kR
apron	e/prxn
bacon	be/kxn
baker	be/kR
baker's	be/kRz
basic	be/sIk
basics	be/sIks
basil	b@/zxl
bathing	be/DIG
beaten	bi/txn
beaters	bi/tRz
beating	bi/tIG
beatrix	bi/trIks
beavers	bi/vRz
beeper	bi/pR
beetle	bi/txl
beetles	bi/txlz
bible	bY/bxl
biting	bY/tIG
bleaching	bli/CIG
bleated	bli/tId
blooming	blu/mIG
blowing	blo/IG
bogus	bo/gxs
boiling	bO/lIG
bowing	bW/IG
braiding	bre/dIG
breaking	bre/kIG
breather	bri/DR
breathing	bri/DIG
brian	brY/In
brighter	brY/tR
broken	bro/kxn
buying	bY/IG
cable	ke/bxl
cases	ke/sIz
ceiling	si/lIG
ceilings	si/lIGz
chafing	Ce/fIG
chases	Ce/sIz
chasing	Ce/sIG
chewing	Cu/IG
choices	CO/sIz
choking	Co/kIG
cider	sY/dR
cleaner	kli/nR
cleanest	kli/nIst
cleaning	kli/nIG
climber	klY/mR
climbing	klY/mIG
closer	klo/sR
closes	klo/zIz
closest	klo/sIst
closing	klo/zIG
clouding	klW/dIG
clover	klo/vR
combing	ko/mIG
cooler	ku/lR
cooling	ku/lIG
coupon	ku/pan
coupons	ku/panz
cradle	kre/dxl
creature	kri/CR
creatures	kri/CRz
crowded	krW/dId
crying	krY/IG
cutest	kyu/tIst
cycle	sY/kxl
david	de/vId
davis	de/vIs
decent	di/sInt
deepest	di/pIst
dialing	dY/lIG
diamond	dY/mxnd
diamonds	dY/mxndz
diaper	dY/pR
diapers	dY/pRz
diet	dY/It
dining	dY/nIG
diving	dY/vIG
doing	du/IG
doodle	du/dxl
doting	do/tIG
dover	do/vR
drainage	dre/nIJ
dreaming	dri/mIG
driver	drY/vR
driving	drY/vIG
drooling	dru/lIG
dryer	drYr
drying	drY/IG
dueling	du/x/lIG
dying	dY/IG
easter	i/stR
eaten	i/txn
eater	i/tR
eating	i/tIG
eden	i/dxn
either	i/DR
even	i/vxn
evening	iv/nIG
evil	i/vxl
faces	fe/sIz
facing	fe/sIG
faker	fe/kR
faking	fe/kIG
famous	fe/mxs
favor	fe/vR
feeder	fi/dR
feeding	fi/dIG
fever	fi/vR
fiber	fY/bR
fighter	fY/tR
fighting	fY/tIG
flavor	fle/vR
flavored	fle/vRd
floating	flo/tIG
flowing	flo/IG
fluids	flu/Idz
flyer	flYr
flying	flY/IG
fooling	fu/lIG
freaking	fri/kIG
freedom	fri/dxm
freezer	fri/zR
frightened	frY/txnd
frozen	fro/zIn
frying	frY/IG
future	fyu/CR
gazing	ge/zIG
genius	Ji/nyxs
giant	JY/Int
goading	go/dIG
goers	go/Rz
going	go/IG
gracious	gre/SIs
grater	gre/tR
gratings	gre/tIGz
grayish	gre/IS
greatest	gre/tIst
groaning	gro/nIG
grover	gro/vR
growing	gro/IG
hated	he/tId
hating	he/tIG
heated	hi/tId
heater	hi/tR
heating	hi/tIG
hiding	hY/dIG
higher	hYr
highest	hY/Ist
hikers	hY/kRz
hoping	ho/pIG
howling	hW/lIG
huber	hyu/bR
human	hyu/mxn
humor	hyu/mR
hydrant	hY/drInt
hyper	hY/pR
iron	Y/Rn
ironed	Yrnd
isaac	Y/zIk
island	Y/lxnd
island's	Y/lxndz
items	Y/txmz
jacob	Je/kxb
jacob's	Je/kxbz
jesus	Ji/zxs
jewish	Ju/IS
joking	Jo/kIG
joseph	Jo/sIf
joyful	JO/fxl
juices	Ju/sIz
junior	Ju/nyR
keaton	ki/txn
keeper	ki/pR
keeping	ki/pIG
kneeling	ni/lIG
